headword,word,line_number,filename,context,is_elided,is_final
god,good,Troilus and Criseyde; Book II 166,data/oxford_txts/TC2_oxford.txt,And been of good condiciouns therto;,False,False
hevi,hevy,The Canon's Yeoman's Tale 1404,data/oxford_txts/CYT_oxford.txt,And empten° also grete and hevy purses,False,False
mo,mo,The Wife of Bath's Prologue 36,data/oxford_txts/WBPro_oxford.txt,I trowe° he hadde wives mo than oon;,False,False
mo,mo,The Wife of Bath's Prologue 57,data/oxford_txts/WBPro_oxford.txt,And ech of hem had wives mo than two;,False,False
mo,mo,The Wife of Bath's Prologue 179,data/oxford_txts/WBPro_oxford.txt,For I shal telle ensamples mo than ten.,False,False
mo,mo,The Wife of Bath's Prologue 686,data/oxford_txts/WBPro_oxford.txt,He knew of hem mo legendes and lives,False,False
mo,mo,The Wife of Bath's Prologue 773,data/oxford_txts/WBPro_oxford.txt,"And therwithal, he knew of mo proverbes",False,False
mo,mo,The Miller's Tale 3650,data/oxford_txts/MilT_oxford.txt,"Withouten wordes mo, they goon to bedde",False,False
fair,fairest,The Knight's Tale 2201,data/oxford_txts/KnT_oxford.txt,What ladies fairest been or best daunsinge,False,False
cler,clerer,The Man of Law's Tale 194,data/oxford_txts/MLT_oxford.txt,"For in the sterres, clerer than is glas,°",False,False
mo,mo,The Man of Law's Tale 419,data/oxford_txts/MLT_oxford.txt,And deintees° mo than I can yow devise,False,False
mo,mo,Book of the Duchess 266,data/oxford_txts/BD_oxford.txt,May winne of me mo fees° thus,False,False
mo,mo,Book of the Duchess 408,data/oxford_txts/BD_oxford.txt,"To have mo floures, swiche seven°",False,False
more,moor,Book of the Duchess 881,data/oxford_txts/BD_oxford.txt,In alle thinges moor mesure,False,False
ful,ful,Troilus and Criseyde; Book V 1597,data/oxford_txts/TC5_oxford.txt,"“Your lettres ful, the papir al ypleinted",False,False
mo,mo,Parliament of Fowls 595,data/oxford_txts/PF_oxford.txt,"“There been mo sterres,° God wot, than a paire!”",False,False
god,good,The Pardoner's Tale 904,data/oxford_txts/PardT_oxford.txt,"¶Now, good men, God foryeve yow your trespas,°",False,False
whit,whitter,The Nun's Priest's Tale 2863,data/oxford_txts/NPT_oxford.txt,His nailes whitter than the lilie flour,False,False
god,good,The Nun's Priest's Tale 3445,data/oxford_txts/NPT_oxford.txt,"As seith my lord, so make us al good men;",False,False
