Headword,Stem Forms,All Forms,Always Ends in E
gret,great; greet; gret; grete,great; greet; gret; grete,No
god,gode; good; goode,gode; good; goode,No
long,lange; long; longe,lange; long; longe,No
olde,old; olde,old; olde,No
smal,smal; smale; small; smalle,smal; smale; small; smalle,No
wel,weel; wel; wele,weel; wel; wele,No
ded,ded; dede; deed,ded; dede; deed,No
wod,wode; wood; woode,wode; wood; woode,No
swete,sweet; sweete; swete,sweet; sweete; swete,No
dere,deer; deere; der; dere,deer; deere; der; dere,No
quik,quik; quike; quikkest,quik; quike; quikkest,No
cold,cold; colde,cold; colde,No
pale,pale,pale,Yes
derk,derk; derke,derk; derke,No
dep,deep; depe,deep; depe,No
pure,pure,pure,Yes
whit,whit; white,whit; white,No
raied,rayed,rayed,No
fin,fin; fine,fin; fine,No
blak,blak; blake; blakke,blak; blake; blakke,No
noble,noble,noble,Yes
mete,mete,mete,Yes
bright,bright; brighte,bright; brighte,No
glad,glad; gladde; glade,glad; gladde; glade,No
fair,fair; faire; feir,fair; faire; feir,No
bleu,blew; blewe,blew; blewe,No
cler,cleer; clere,cleer; clere,No
prive,prevy; priv; prive; privee; privy,prevy; priv; prive; privee; privy,No
smothe,smothe,smothe,Yes
flouri,floury,floury,No
grene,grene,grene,Yes
thikke,thikke,thikke,Yes
softe,softe,softe,Yes
huge,huge,huge,Yes
brod,brode; brood,brode; brood,No
ful,ful; full; fulle,ful; full; fulle,No
ware,war; ware,war; ware,No
red,red; rede; reed,red; rede; reed,No
fresh,fresh; fresshe,fresh; fresshe,No
fre,fre; free,fre; free,Yes
warm,warm; warme,warm; warme,No
ouen,awen; owen; owene; own; owne,awen; owen; owene; own; owne,No
smert,smart; smerte,smart; smerte,No
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
right,right; righte,right; righte,No
hole,hole; hool,hole; hool,No
sik,seek; seke; sik; sike,seek; seke; sik; sike,No
graunt,grant; graunt,grant; graunt,No
loth,looth; loothe; lothest,looth; loothe; lothest,No
fals,fals; false,fals; false,No
worth,worth; worthe,worth; worthe,No
queinte,queint; queinte,queint; queinte,No
sad,sad; sadde,sad; sadde,No
simple,simple,simple,Yes
wid,wid; wide,wid; wide,No
sobre,sobre,sobre,Yes
large,large,large,Yes
dul,dul; dulle,dul; dulle,No
chef,cheef; chief,cheef; chief,No
treu,trew; trewe,trew; trewe,No
rounde,round; rounde,round; rounde,No
streight,streight; streighte,streight; streighte,No
flat,flat,flat,No
lik,lik; like,lik; like,No
muche,moch; moche; much; muche,moch; moche; much; muche,No
half,half; halfe; halve,half; halfe; halve,No
wise,wis; wise,wis; wise,No
yong,yong; yonge,yong; yonge,No
ofte,ofte,ofte,Yes
wo,wo,wo,No
neue,new; newe,new; newe,No
riche,riche,riche,Yes
west,west,west,No
strong,strong; stronge,strong; stronge,No
self,self; selve; selven,self; selve; selven,No
short,short; shorte,short; shorte,No
heigh,heigh; heighe; hie; high; hy; hye; hyest,heigh; heighe; hie; high; hy; hye; hyest,No
straunge,estraunge; strange; straunge,estraunge; strange; straunge,Yes
mek,meke,meke,Yes
selde,selde,selde,Yes
humble,humble,humble,Yes
povre,poor; poore; pore; pour; poure; povre,poor; poore; pore; pour; poure; povre,No
tender,tendre,tendre,Yes
ripe,ripe,ripe,Yes
hard,hard; harde,hard; harde,No
laste,last,last,No
lege,lige,lige,Yes
digne,digne,digne,Yes
loue,low; lowe,low; lowe,No
maide,maide,maide,Yes
sterne,sterne,sterne,Yes
trouble,trouble,trouble,Yes
lef,leef; lefe; leve; lief,leef; lefe; leve; lief,No
badde,badde,badde,Yes
kinde,kinde,kinde,Yes
stable,stable,stable,Yes
rude,rude,rude,Yes
wikke,wikke,wikke,Yes
clene,clene,clene,Yes
bar,bare,bare,Yes
stille,stille,stille,Yes
drie,dreie; dreye; drie,dreie; dreye; drie,Yes
pleine,plein,plein,No
couth,couth; couthe,couth; couthe,No
mene,mene,mene,Yes
salt,salte,salte,Yes
foul,foul; foule,foul; foule,No
deinte,deintee,deintee,Yes
sharp,sharp; sharpe,sharp; sharpe,No
feble,feble,feble,Yes
egre,egre,egre,Yes
light,light; lighte,light; lighte,No
gai,gay; gaye,gay; gaye,No
wan,wan,wan,No
thinne,thinne,thinne,Yes
crude,crude,crude,Yes
nice,nice,nice,Yes
roughe,rough; rowe,rough; rowe,No
bitter,bitter; bittre,bitter; bittre,No
hot,hoot; hote,hoot; hote,No
blithe,blithe,blithe,Yes
sauf,sauf,sauf,No
fol,fool,fool,No
sleigh,sleigh; slie; sly; slye,sleigh; slie; sly; slye,No
mis,mis,mis,No
fain,fain; fawe,fain; fawe,No
soth,sooth; soth; sothe,sooth; soth; sothe,No
blind,blind; blinde,blind; blinde,No
wrong,wrong; wronge,wrong; wronge,No
holwe,holwe,holwe,Yes
secre,secree,secree,Yes
bold,bold; bolde,bold; bolde,No
wrecche,wrecche,wrecche,Yes
shene,shene,shene,Yes
kene,kene,kene,Yes
grim,grim; grimme,grim; grimme,No
wilde,wilde,wilde,Yes
double,double,double,Yes
fix,fixe,fixe,Yes
quite,quit,quit,No
mad,mad; madde,mad; madde,No
sore,soor; sore,soor; sore,No
north,north,north,No
streit,streit; streite,streit; streite,No
liard,lyard,lyard,No
lite,lite,lite,Yes
thral,thral,thral,No
bonde,bonde,bonde,Yes
sote,sote; swote,sote; swote,Yes
ferrene,ferne,ferne,Yes
crul,crul; crulle,crul; crulle,No
coi,coy,coy,No
grei,gray; grey; greye,gray; grey; greye,No
swifte,swift; swifte,swift; swifte,No
balled,bald,bald,No
fat,fat,fat,No
stepe,stepe,stepe,Yes
souple,souple,souple,Yes
broun,broun,broun,No
lene,lene,lene,Yes
medle,medlee,medlee,Yes
tart,tart,tart,No
def,deef; deve,deef; deve,No
moiste,moiste,moiste,Yes
propre,propre,propre,Yes
stoute,stout; stoute,stout; stoute,No
big,big; bigge,big; bigge,No
stif,stif,stif,No
domb,domb; dombe; doumb,domb; dombe; doumb,No
lithe,lithe,lithe,Yes
troian,troian; troyan; troyane,troian; troyan; troyane,No
stark,stark; starke,stark; starke,No
noious,noyous,noyous,No
beau,beau,beau,No
fer,fer; ferre,fer; ferre,No
overt,overte,overte,Yes
juste,just; juste,just; juste,No
wet,weet; wete,weet; wete,No
bon,bon,bon,No
loud,loud; loude,loud; loude,No
los,laus; loos; lous,laus; loos; lous,No
crisp,crips; crisp; crispe,crips; crisp; crispe,No
blo,blo,blo,No
falwe,falwe,falwe,Yes
weik,waike,waike,Yes
mat,mat,mat,No
square,square,square,Yes
vein,vein; veine,vein; veine,No
wast,waste,waste,Yes
fel,fel; felle,fel; felle,No
fers,fers; fiers; fierse,fers; fiers; fierse,No
proud,proud; proude,proud; proude,No
plat,plat; platte,plat; platte,No
tough,tough,tough,No
chaste,chaast; chast; chaste,chaast; chast; chaste,No
gaudi,gaude,gaude,Yes
kempe,kempe,kempe,Yes
bai,bay; baye,bay; baye,No
tame,tame,tame,Yes
paien,paien,paien,No
lift,left,left,No
hust,hust,hust,No
due,due,due,Yes
plaine,plain; plein; pleine,plain; plein; pleine,No
hor,hoor; hore,hoor; hore,No
sengle,sengle,sengle,Yes
sole,soul,soul,No
store,store,store,Yes
hende,hende,hende,Yes
derne,derne,derne,Yes
gent,gent,gent,No
yern,yerne,yerne,Yes
neigh,ny; nye,ny; nye,No
wight,wight,wight,No
narwe,narwe,narwe,Yes
real,real; royal,real; royal,No
grek,greek,greek,No
shrille,shrille,shrille,Yes
sour,sour,sour,No
don,donne; dunne,donne; dunne,Yes
perte,pert,pert,No
ille,il; ille,il; ille,No
roum,roum,roum,No
slik,slik,slik,No
yon,yon,yon,No
bel,bele,bele,Yes
fremed,fremde; fremed,fremde; fremed,No
slou,slowe,slowe,Yes
tought,toght,toght,No
ner,neer,neer,No
blaunk,blaunche,blaunche,Yes
lame,lame,lame,Yes
voide,voide,voide,Yes
prest,prest; preste,prest; preste,No
dim,dimme,dimme,Yes
prime,prime,prime,Yes
sounde,sounde,sounde,Yes
aspre,aspre,aspre,Yes
purpure,purpre,purpre,Yes
hos,hoors,hoors,No
ethe,ethe,ethe,Yes
fast,faste,faste,Yes
stale,stale,stale,Yes
trie,trie,trie,Yes
slike,slik,slik,No
late,late,late,Yes
gold,gold,gold,No
