folder,file,line_number,oxford_text,green_scansion,v1_scansion,v2_scansion
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 28,In sondry londes sondry ben usages,u Su Su Su S uSx,u Su Su Su S uSx,u Su Su Su S uSu
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 31,That herkeneth as the story wol devise,u Sux S u Su S uSx,u Sux S u Su S uSx,u SuS u S uS u Sux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 41,In visitinge in forme or seide hir sawes,u SuSx u Sx u Sx u Sx,u SuSx u Sx u Sx u Sx,u SuSx u Sx u Sx u Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 42,Forthi men seyn ech contree hath his lawes,uS u S u Su S u Sx,uS u S u Su S u Sx,uS u S u Su S u Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 59,That coude he never so wel of loving preche,u Sx u S u S u Su Sx,u Sx u S u S u Su Sx,u Sx u Su S u S uS ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 63,And made er it was day ful many a wente,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,u Sx u S u S u Su S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 114,Is that a widewes lif so God you save,u S u Sux S u S u Sx,u S u Sux S u S u Sx,u S u SuS u S u S ux
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 118,To bidde and rede on holy seintes lives,u Sx u Sx u Su Su Sx,u Sx u Sx u Su Su Sx,u Sx u Sx u Su Su Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 124,I am of Grekes so fered that I deie,u S u Su S ux S u S,u S u Su S ux S u S,u S u Su S uS u S u
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 180,This knoweth many a wis and worthy wight,u Su Sx u S u Su S,u Su Sx u S u Su S,u Su Su S u S uS u
